question_title,question_text,answer_a,answer_b,answer_c,answer_d,correct_answer,bank_title,course_type,module,objective_code,poi_topic,points,question_type,hint,explanation,source_url,bank_description,image_file
S05-36 — All-way stop,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r1-1-r1-3p-all-way-stop.png"" alt=""All-way stop highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>Two vehicles reach an all-way stop at approximately the same time. Which general rule applies?</p>",The vehicle traveling on the wider roadway proceeds first,The vehicle intending to turn left always proceeds first,The vehicle closest to the center of the intersection proceeds first,The driver on the left yields to the driver on the right when their paths conflict,D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r1-1-r1-3p-all-way-stop.png
S05-37 — No U-turn,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r3-4-no-u-turn.svg"" alt=""No U-turn highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What movement does this sign prohibit?</p>",Passing another vehicle on the right,Reversing direction by making a U-turn,Turning left at the intersection,Entering the roadway from a driveway,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r3-4-no-u-turn.svg
S05-38 — No U-turn,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r3-4-no-u-turn.svg"" alt=""No U-turn highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>A driver needs to travel in the opposite direction after seeing this sign. What should the driver do?</p>",Turn into the nearest driveway solely to avoid the sign,Make the U-turn at the next opening even if the restriction continues,Continue to a location where changing direction is lawful and safe,Make the U-turn after yielding to all visible traffic,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r3-4-no-u-turn.svg
S05-39 — Speed limit,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r2-1-speed-limit.svg"" alt=""Speed limit highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does the number on this regulatory sign represent?</p>",The maximum lawful speed under favorable conditions,The minimum speed required in the right lane,The recommended speed for the next curve,The speed that must be maintained in all weather conditions,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r2-1-speed-limit.svg
S05-40 — Speed limit,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r2-1-speed-limit.svg"" alt=""Speed limit highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>When might a driver need to travel below the posted speed?</p>",Whenever the roadway has more than one lane in the same direction,"When weather, visibility, traffic, or roadway conditions make the posted speed unsafe",Only when another driver activates emergency flashers,Only when traveling behind a vehicle with an out-of-state plate,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r2-1-speed-limit.svg
S05-41 — Low clearance,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w12-2-low-clearance.svg"" alt=""Low clearance highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this warning sign communicate?</p>",Vehicles longer than 12 feet 6 inches are prohibited,The roadway is 12 feet 6 inches wide,The bridge has a 12-ton weight limit,The maximum vertical clearance ahead is 12 feet 6 inches,D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w12-2-low-clearance.svg
S05-42 — Low clearance,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w12-2-low-clearance.svg"" alt=""Low clearance highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What must the driver of a tall vehicle consider before continuing?</p>",The posted measurement includes an automatic safety allowance,"The vehicle’s total height, including any load, must be below the posted clearance",The posted clearance applies only to commercial vehicles,The vehicle may continue if it travels in the center of the roadway,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w12-2-low-clearance.svg
S05-43 — Dip warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w8-2-dip.svg"" alt=""Dip warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What roadway condition does this sign identify?</p>",A raised bump or hump in the roadway,A steep downgrade that requires a lower gear,A section of roadway that may flood during rain,A low place or depression in the roadway ahead,D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w8-2-dip.svg
S05-44 — Dip warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w8-2-dip.svg"" alt=""Dip warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What should a driver do when approaching the dip?</p>",Move left because the dip affects only the right side of the roadway,Maintain the posted speed because the sign describes drainage rather than the road surface,Reduce speed as needed and maintain control through the change in grade,Accelerate so the suspension unloads while crossing the dip,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w8-2-dip.svg
S05-45 — Truck rollover warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w1-13-truck-rollover.svg"" alt=""Truck rollover warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What hazard does this sign emphasize?</p>",A truck can roll over if the curve or ramp is entered too fast,Trucks must move into the left lane before the curve,Passenger vehicles are prohibited from using the ramp,A truck inspection station is located around the curve,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w1-13-truck-rollover.svg
S05-46 — Truck rollover warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w1-13-truck-rollover.svg"" alt=""Truck rollover warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>How should any driver respond to this warning?</p>",Pass trucks before the curve even when pavement markings prohibit passing,Follow a truck closely through the curve to judge a safe speed,Enter the curve or ramp at a safe speed and avoid abrupt control inputs,Match the posted highway speed until the vehicle reaches the curve,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w1-13-truck-rollover.svg
S05-47 — Road work warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w20-1-road-work.svg"" alt=""Road work warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What does this orange sign indicate?</p>",A construction or maintenance area is ahead,The roadway is permanently closed to through traffic,A detour begins immediately at the sign,Only construction vehicles may use the roadway ahead,A,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w20-1-road-work.svg
S05-48 — Road work warning,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-w20-1-road-work.svg"" alt=""Road work warning highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What should a driver expect after seeing this sign?</p>",Normal traffic controls are suspended until the work area ends,The shoulder may be used to pass slow construction equipment,The posted speed limit remains safe regardless of work-zone conditions,"Changed traffic patterns, workers, equipment, or reduced speeds may be ahead",D,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-w20-1-road-work.svg
S05-49 — Railroad crossbuck,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r15-1-crossbuck.svg"" alt=""Railroad crossbuck highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What location is marked by this crossbuck sign?</p>",A railroad station entrance with no tracks across the road,The actual highway-rail grade crossing,The beginning of the advance railroad-warning area,A roadway reserved for emergency vehicles,B,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r15-1-crossbuck.svg
S05-50 — Railroad crossbuck,"<p><img src=""https://gulfbreezedrivingschool.com/wp-content/plugins/gulf-breeze-core/assets/signs/official-2026-r15-1-crossbuck.svg"" alt=""Railroad crossbuck highway sign"" style=""display:block;width:100%;max-width:360px;height:240px;object-fit:contain;margin:0 auto 18px""></p><p>What right-of-way rule applies at the crossing marked by this sign?</p>",A stop is required only when both lights and gates are present,A driver may cross whenever another vehicle has crossed safely,A driver must yield to an approaching train and stop when required,A driver who reaches the tracks first has the right-of-way over a train,C,Gulf Breeze Adult Final — Highway Signs Bank,adult_en,4.1.9,4.1.9.1(A),Highway signs — Handbook Chapter 5,1,single_choice,,,https://www.dps.texas.gov/internetforms/forms/dl-7.pdf,Internal reviewed highway-sign question bank for the controlled Adult English final assessment.,official-2026-r15-1-crossbuck.svg
